;capas;encoding_dim;epochs;batch_size;rmse;mae
328;[195];2016;10000;32;0.031820577;0.0012436484
329;[195];2016;10000;64;0.039633956;0.0020797295
330;[195];2016;10000;512;0.03961895;0.002078186
331;[195];1008;1000;32;0.01945204;0.0004278086
332;[];195;300;16;0.007040563;5.484232e-05
133;[];1008;300;16;0.006823071;5.296402e-05
334;[];1008;1000;16;0.007138232;5.8727725e-05
335;[];1008;10000;16;0.006780154;5.2219544e-05
336;[];1260;300;16;0.007079557;5.7189616e-05
337;[];1260;1000;16;0.0067353863;5.3202624e-05
338;[];1260;10000;16;0.006655296;5.0365892e-05
339;[];2016;300;16;0.0070234532;5.630873e-05
340;[];2016;1000;16;0.0070112594;5.610054e-05
341;[];2016;10000;16;0.007541603;6.3866704e-05
342;[];195;1000;16;0.0073831035;5.967784e-05
343;[];195;10000;16;0.0076808813;6.470776e-05

